CPUOperator,Score
CoalesceExec,2.0
CollectLimitExec,2.0
ExpandExec,2.0
FileSourceScanExec,2.0
FilterExec,2.4
GenerateExec,2.0
GlobalLimitExec,2.0
LocalLimitExec,2.0
ProjectExec,2.0
RangeExec,2.0
SampleExec,2.0
SortExec,6.0
SubqueryBroadcastExec,2.0
TakeOrderedAndProjectExec,2.0
UnionExec,2.0
CustomShuffleReaderExec,2.0
HashAggregateExec,3.4
ObjectHashAggregateExec,2.0
SortAggregateExec,2.0
InMemoryTableScanExec,2.0
DataWritingCommandExec,2.0
BatchScanExec,2.0
BroadcastExchangeExec,2.0
ShuffleExchangeExec,3.1
BroadcastHashJoinExec,3.0
BroadcastNestedLoopJoinExec,2.0
CartesianProductExec,2.0
ShuffledHashJoinExec,2.0
SortMergeJoinExec,14.9
AggregateInPandasExec,2.0
ArrowEvalPythonExec,2.0
FlatMapGroupsInPandasExec,2.0
MapInPandasExec,2.0
WindowInPandasExec,2.0
WindowExec,2.0
Abs,3
Acos,3
Acosh,3
Add,3
AggregateExpression,3
Alias,3
And,3
ApproximatePercentile,3
ArrayContains,3
ArrayExists,3
ArrayMax,3
ArrayMin,3
ArrayRepeat,3
ArrayTransform,3
ArraysZip,3
Asin,3
Asinh,3
AtLeastNNonNulls,3
Atan,3
Atanh,3
AttributeReference,3
Average,3
BRound,3
BitLength,3
BitwiseAnd,3
BitwiseNot,3
BitwiseOr,3
BitwiseXor,3
CaseWhen,3
Cbrt,3
Ceil,3
CheckOverflow,3
Coalesce,3
CollectList,3
CollectSet,3
Concat,3
ConcatWs,3
Contains,3
Cos,3
Cosh,3
Cot,3
Count,3
CreateArray,3
CreateMap,3
CreateNamedStruct,3
CurrentRow$,3
DateAdd,3
DateAddInterval,3
DateDiff,3
DateFormatClass,3
DateSub,3
DayOfMonth,3
DayOfWeek,3
DayOfYear,3
DenseRank,3
Divide,3
ElementAt,3
EndsWith,3
EqualNullSafe,3
EqualTo,3
Exp,3
Explode,3
Expm1,3
First,3
Floor,3
FromUnixTime,3
GetArrayItem,3
GetArrayStructFields,3
GetJsonObject,3
GetMapValue,3
GetStructField,3
GetTimestamp,3
GreaterThan,3
GreaterThanOrEqual,3
Greatest,3
HiveGenericUDF,3
HiveSimpleUDF,3
Hour,3
Hypot,3
If,3
In,3
InSet,3
InitCap,3
InputFileBlockLength,3
InputFileBlockStart,3
InputFileName,3
IntegralDivide,3
IsNaN,3
IsNotNull,3
IsNull,3
KnownFloatingPointNormalized,3
KnownNotNull,3
Lag,3
LambdaFunction,3
Last,3
LastDay,3
Lead,3
Least,3
Length,3
LessThan,3
LessThanOrEqual,3
Like,3
Literal,3
Log,3
Log10,3
Log1p,3
Log2,3
Logarithm,3
Lower,3
MakeDecimal,3
MapEntries,3
MapKeys,3
MapValues,3
Max,3
Md5,3
Min,3
Minute,3
MonotonicallyIncreasingID,3
Month,3
Multiply,3
Murmur3Hash,3
NaNvl,3
NamedLambdaVariable,3
NormalizeNaNAndZero,3
Not,3
OctetLength,3
Or,3
PercentRank,3
PivotFirst,3
Pmod,3
PosExplode,3
Pow,3
PreciseTimestampConversion,3
PromotePrecision,3
PythonUDF,3
Quarter,3
RLike,3
Rand,3
Rank,3
RegExpExtract,3
RegExpReplace,3
Remainder,3
ReplicateRows,3
Rint,3
Round,3
RowNumber,3
ScalaUDF,3
ScalarSubquery,3
Second,3
Sequence,3
ShiftLeft,3
ShiftRight,3
ShiftRightUnsigned,3
Signum,3
Sin,3
Sinh,3
Size,3
SortArray,3
SortOrder,3
SparkPartitionID,3
SpecifiedWindowFrame,3
Sqrt,3
StartsWith,3
StddevPop,3
StddevSamp,3
StringLPad,3
StringLocate,3
StringRPad,3
StringRepeat,3
StringReplace,3
StringSplit,3
StringToMap,3
StringTrim,3
StringTrimLeft,3
StringTrimRight,3
Substring,3
SubstringIndex,3
Subtract,3
Sum,3
Tan,3
Tanh,3
TimeAdd,3
ToDegrees,3
ToRadians,3
ToUnixTimestamp,3
TransformKeys,3
TransformValues,3
UnaryMinus,3
UnaryPositive,3
UnboundedFollowing$,3
UnboundedPreceding$,3
UnixTimestamp,3
UnscaledValue,3
Upper,3
VariancePop,3
VarianceSamp,3
WeekDay,3
WindowExpression,3
WindowSpecDefinition,3
Year,3
